,accuracy,train_seed,n_gen,n_ep,n_steps,reward
3340,0.8,55,54,1100,880000,147.38227696489108
3341,0.8,55,55,1120,896000,234.363029880404
3342,0.8,55,56,1140,912000,248.6878556875039
3343,0.8,55,57,1160,928000,-22.863377347740805
3344,0.8,55,58,1180,944000,218.4176750511737
3345,0.8,55,59,1200,960000,233.3006381810206
3346,0.8,55,60,1220,976000,153.78597363412567
3347,0.8,55,61,1240,992000,221.23832346145176
3348,0.8,56,0,20,16000,6.426231774318822
3349,0.8,56,1,40,32000,67.60163792536262
3350,0.8,56,2,60,48000,-26.525199656299115
3351,0.8,56,3,80,64000,-20.04813252462017
3352,0.8,56,4,100,80000,9.6142289481817
3353,0.8,56,5,120,96000,-6.534082481988882
3354,0.8,56,6,140,112000,9.6142289481817
3355,0.8,56,7,160,128000,-18.17545480280696
3356,0.8,56,8,180,144000,7.23315708470448
3357,0.8,56,9,200,160000,27.7032954766645
3358,0.8,56,10,220,176000,9.6142289481817
3359,0.8,56,11,240,192000,41.00159292623029
3360,0.8,56,12,260,208000,28.89591556086605
3361,0.8,56,13,280,224000,31.22619571723027
3362,0.8,56,14,300,240000,27.026840608933902
3363,0.8,56,15,320,256000,13.17640417776353
3364,0.8,56,16,340,272000,29.0594210264584
3365,0.8,56,17,360,288000,-11.809948682451216
3366,0.8,56,18,380,304000,-22.68859679541358
3367,0.8,56,19,400,320000,-14.497327834816426
3368,0.8,56,20,420,336000,27.420907947118
3369,0.8,56,21,440,352000,41.33190481898016
3370,0.8,56,22,460,368000,11.415416879156826
3371,0.8,56,23,480,384000,27.11388024845697
3372,0.8,56,24,500,400000,36.82270361321539
3373,0.8,56,25,520,416000,-30.51893179337957
3374,0.8,56,26,540,432000,28.44750454889104
3375,0.8,56,27,560,448000,15.768096005011303
3376,0.8,56,28,580,464000,-15.845155892374931
3377,0.8,56,29,600,480000,-2.7235432322698605
3378,0.8,56,30,620,496000,-16.67137070558067
3379,0.8,56,31,640,512000,-2.8597461930355985
3380,0.8,56,32,660,528000,34.573072265357034
3381,0.8,56,33,680,544000,45.37207571418363
3382,0.8,56,34,700,560000,47.101957393454654
3383,0.8,56,35,720,576000,11.727493737236744
3384,0.8,56,36,740,592000,26.19713658832384
